Date,FS_oil,MACD_oil_1_2_3,MACD_T_1_2_3,MACD_T_2_3_4,BIAS_T_2_03,Butadiene
1/1/2010,-0.4979810996563573,0.0,0.0,14.435624999999995,-5.842016399622611E-4,1753
1/8/2010,5.6375000000000455,-48.11874999999998,-48.11874999999998,1.7254375000000053,0.009044657998869417,1785
1/15/2010,9.25,-41.038541666666646,-41.038541666666646,-2.2520812500000034,0.002793296089385475,1795
1/22/2010,0.5,-27.72065972222225,-27.72065972222225,-3.432420625000006,0.008287292817679558,1825
1/29/2010,-12.200000000000045,-16.344126157407402,-16.344126157407402,-3.735038312499995,0.003004643540016389,1836
2/5/2010,-0.8499999999999659,-6.9666618441357855,-6.9666618441357855,-2.511315956249973,0.003257328990228013,1848
2/12/2010,5.75,-2.939863843878584,-2.939863843878584,-1.3119360581250135,-0.0027129679869777536,1838
2/19/2010,6.949999999999989,-2.247109562542903,-2.247109562542903,-0.6297348770625035,-0.010445299615173173,1800
2/26/2010,4.75,-2.540947328139282,-2.540947328139282,-0.4091275473312521,-0.0013908205841446453,1795
3/5/2010,4.75,-2.534604513025613,-2.534604513025613,-0.26111983894563195,0.008287292817679558,1825
3/12/2010,5.100000000000023,-2.4803458728314354,-2.4803458728314354,-0.14699355864081554,0.022495982860203535,1909
3/19/2010,-5.350000000000023,-2.4945208085219406,-2.4945208085219406,-0.6058569628212069,0.026517083120856707,2013
3/26/2010,2.1000000000000227,-0.7737096949630882,-0.7737096949630882,-0.24984459151107785,0.0,2013
4/2/2010,8.449999999999989,-0.5790046110489016,-0.5790046110489016,0.22442803818415769,0.0,2013
4/9/2010,8.449999999999989,-1.7618855600469487,-1.7618855600469487,0.32182421945591955,0.009106571498892444,2050
4/16/2010,2.3500000000000227,-2.780070531530953,-2.780070531530953,-0.018321770053745468,0.013237063778580024,2105
4/23/2010,-3.2000000000000455,-2.4147445162680015,-2.4147445162680015,-0.3942012128958936,0.0,2105
4/30/2010,-14.049999999999955,-1.0156086749681776,-1.0156086749681776,-0.9706248031693576,0.014743739761291832,2168
5/7/2010,-28.150000000000034,1.8977835235712064,1.8977835235712064,-1.6544269196175208,0.014321436690156853,2231
5/14/2010,-6.0,6.4424210488040785,6.4424210488040785,-0.42118217062849794,0.0,2231
5/21/2010,-12.649999999999977,6.052386953408131,6.052386953408131,-0.29947231180602785,-0.004502476361999099,2211
5/28/2010,10.574999999999989,6.078252286372788,6.078252286372788,0.9581851082018602,-0.025986078886310906,2099
6/4/2010,10.574999999999989,2.2939790797426554,2.2939790797426554,1.143845312563883,-0.009134615384615385,2061
6/11/2010,-6.699999999999989,-0.8638928146099261,-0.8638928146099261,0.10702431135970869,-0.012776412776412777,2009
6/18/2010,3.4499999999999886,0.014426141201283826,0.014426141201283826,0.2820731487265107,-0.012600806451612902,1959
6/25/2010,3.8500000000000227,-0.41899607989722654,-0.41899607989722654,0.2981731701912622,-0.0061633281972265025,1935
7/2/2010,-2.8500000000000227,-0.993234423447916,-0.993234423447916,-0.09163145740757273,-0.02925531914893617,1825
7/9/2010,4.400000000000034,-0.28286267289036005,-0.28286267289036005,0.1722534457942686,0.006802721088435374,1850
7/16/2010,-7.7000000000000455,-0.8035131568340148,-0.8035131568340148,-0.38803177240401965,-0.006802721088435374,1825
7/23/2010,0.10000000000002274,0.660882814786703,0.660882814786703,-0.08851098338269026,-0.013888888888888888,1775
7/30/2010,4.850000000000023,0.667987871794594,0.667987871794594,0.2565474500002267,0.0,1775
8/6/2010,11.799999999999955,-0.3618239093023021,-0.3618239093023021,0.6562554900150701,0.001687289088863892,1781
8/13/2010,-1.25,-2.37951790305101,-2.37951790305101,-0.007583195983499991,-0.014236902050113895,1731
8/20/2010,10.400000000000034,-1.7142942676587722,-1.7142942676587722,0.37728183741364774,-0.014654161781946073,1681
8/27/2010,7.399999999999977,-2.765325572540462,-2.765325572540462,0.2672849799500341,0.0,1681
9/3/2010,12.449999999999989,-3.252055599173957,-3.252055599173957,0.433328926720975,-0.0014894250819183796,1676
9/10/2010,1.375,-4.3241587372215236,-4.3241587372215236,-0.15727367459194852,0.0,1676
9/17/2010,1.375,-3.290623014488972,-3.290623014488972,-0.30299972006744724,0.00857734398107069,1705
9/24/2010,7.050000000000011,-2.250659389203861,-2.250659389203861,-0.002367589696604,0.0066996795805418004,1728
10/1/2010,5.800000000000011,-2.502112321921743,-2.502112321921743,0.02579556735398114,0.006611095142282265,1751
10/8/2010,12.699999999999989,-2.6766503700674775,-2.6766503700674775,0.37408540099835363,0.0056785917092561046,1771
10/15/2010,34.30000000000001,-3.9301899214025866,-3.9301899214025866,1.4837552708920043,0.010890812622172577,1810
10/22/2010,-5.449999999999989,-8.545716539490911,-8.545716539490911,-0.46759482231828997,0.026881720430107527,1910
10/29/2010,-0.75,-5.558065462675302,-5.558065462675302,-0.7244808858177407,0.014193548387096775,1965
11/5/2010,22.899999999999977,-3.082435128980933,-3.082435128980933,0.5258494722959881,0.013801756587202008,2020
11/12/2010,22.900000000000034,-5.459018363704843,-5.459018363704843,0.795778685270875,0.0024691358024691358,2030
11/19/2010,-6.7000000000000455,-7.852109448257238,-7.852109448257238,-0.762398287890818,-0.0024691358024691358,2020
11/26/2010,-5.5499999999999545,-4.516921479596931,-4.516921479596931,-1.0198717222611435,-0.0024813895781637717,2010
12/3/2010,8.199999999999989,-1.5304163249545581,-1.5304163249545581,-0.20563940812002102,0.007407407407407408,2040
12/10/2010,13.099999999999966,-1.8891933575292796,-1.8891933575292796,0.32475816774629607,0.0024449877750611247,2050
