Date,Feature_S,Feature_T,MAS1_2,MAS1_3,MAS1_4,MAS1_5,MAT_2,MAT_3,Match,MACD_S1,MACD_S12,MACD_T1,MACD_T2,MAa_1_S,MAa_2_S,MAa_1_T,MAa_2_T,BIAS3_S1,BIAS3_T,BIAS3_T2,BIAS3_T3,SMR_20_US
6/25/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
7/2/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_1,MAC5_0,MAS2_1,MAS3_1,Same,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_0,MAaS4_0,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
7/9/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_0,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
7/16/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_1,MAC3_0,MAC4_0,MAC5_1,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
7/23/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_1,MAaS4_0,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Rise
7/30/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_0,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
8/6/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
8/13/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Same,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_1,BIAS_S_4_1,Down
8/20/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
8/27/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
9/3/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_0,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
9/10/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_0,MAS2_1,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
9/17/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_1,MAC5_0,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
9/24/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
10/1/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
10/8/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
10/15/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
10/22/2010,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_0,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_1,BIAS_S_4_1,Down
10/29/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_1,MAC3_0,MAC4_0,MAC5_1,MAS2_0,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_1,Down
11/5/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
11/12/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
11/19/2010,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_1,MAC4_0,MAC5_1,MAS2_1,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_1,BIAS_S_4_1,Down
11/26/2010,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_1,MAC5_1,MAS2_0,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
12/3/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_0,Same,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_0,MAaC2_1,MAaS4_1,MAaS2_0,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
12/10/2010,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
12/17/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
12/24/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
12/31/2010,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
1/7/2011,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_1,MAC4_1,MAC5_0,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
1/14/2011,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
1/21/2011,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_1,MAC3_0,MAC4_0,MAC5_1,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
1/28/2011,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_1,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_1,BIAS_S_4_1,Rise
2/4/2011,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_1,MAC5_0,MAS2_1,MAS3_1,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
2/11/2011,Crude_Oil_NYMEX_D,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
2/18/2011,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_1,MAS3_1,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
2/25/2011,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
3/4/2011,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
3/11/2011,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
3/18/2011,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Same,MACD1_C23,MACD0_C45,MACD1_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_0,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
3/25/2011,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_0,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
4/1/2011,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Diff,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_0,MAaC2_1,MAaS4_0,MAaS2_1,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_1,BIAS_S_4_1,Down
4/8/2011,Crude_Oil_NYMEX_R,SMR_20_US_R,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD1_C23,MACD1_C45,MACD1_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_1,BIAS_S_2_1,BIAS_S_3_1,BIAS_S_4_1,Rise
4/15/2011,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_1,MAS3_1,Same,MACD0_C23,MACD1_C45,MACD0_S23,MACD1_S45,MAaC4_1,MAaC2_1,MAaS4_1,MAaS2_1,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
4/22/2011,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_0,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_0,MAaS4_0,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
4/29/2011,Crude_Oil_NYMEX_R,SMR_20_US_D,MAC2_1,MAC3_1,MAC4_1,MAC5_1,MAS2_0,MAS3_0,Diff,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_1,MAaC2_1,MAaS4_0,MAaS2_0,BIAS_C_2_1,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
5/6/2011,Crude_Oil_NYMEX_D,SMR_20_US_D,MAC2_0,MAC3_0,MAC4_0,MAC5_0,MAS2_0,MAS3_0,Same,MACD0_C23,MACD0_C45,MACD0_S23,MACD0_S45,MAaC4_0,MAaC2_0,MAaS4_0,MAaS2_0,BIAS_C_2_0,BIAS_S_2_0,BIAS_S_3_0,BIAS_S_4_0,Down
