Date,Crude_Oil_NYMEX,SMR_20_US,Butadiene,
1/1/2010,79.62,288.7125,1753,
1/8/2010,82.75,294.35,1785,
1/15/2010,78,303.6,1795,
1/22/2010,74.54,304.1,1825,
1/29/2010,72.89,291.9,1836,
2/5/2010,71.19,291.05,1848,
2/12/2010,74.13,296.8,1838,
2/19/2010,79.81,303.75,1800,
2/26/2010,79.66,308.5,1795,
3/5/2010,81.5,313.25,1825,
3/12/2010,81.24,318.35,1909,
3/19/2010,80.68,313,2013,
3/26/2010,80,315.1,2013,
4/2/2010,82.46,323.55,2013,
4/9/2010,84.92,332,2050,
4/16/2010,83.24,334.35,2105,
4/23/2010,85.12,331.15,2105,
4/30/2010,86.15,317.1,2168,
5/7/2010,75.11,288.95,2231,
5/14/2010,71.61,282.95,2231,
5/21/2010,70.04,270.3,2211,
5/28/2010,73.97,280.875,2099,
6/4/2010,71.51,291.45,2061,
6/11/2010,73.78,284.75,2009,
6/18/2010,77.18,288.2,1959,
6/25/2010,78.86,292.05,1935,
7/2/2010,72.14,289.2,1825,
7/9/2010,76.09,293.6,1850,
7/16/2010,76.01,285.9,1825,
7/23/2010,78.98,286,1775,
7/30/2010,78.95,290.85,1775,
8/6/2010,80.7,302.65,1781,
8/13/2010,75.39,301.4,1731,
8/20/2010,73.46,311.8,1681,
8/27/2010,75.17,319.2,1681,
9/3/2010,74.6,331.65,1676,
9/10/2010,76.45,333.025,1676,
9/17/2010,73.66,334.4,1705,
9/24/2010,76.49,341.45,1728,
10/1/2010,81.58,347.25,1751,
10/8/2010,82.66,359.95,1771,
10/15/2010,81.25,394.25,1810,
10/22/2010,81.69,388.8,1910,
10/29/2010,81.43,388.05,1965,
11/5/2010,86.85,410.95,2020,
11/12/2010,84.88,433.85,2030,
11/19/2010,81.51,427.15,2020,
11/26/2010,83.76,421.6,2010,
12/3/2010,89.19,429.8,2040,
12/10/2010,87.79,442.9,2050,
12/17/2010,88.02,457.5,2050,
12/24/2010,89.7,487.55,2060,
12/31/2010,91.38,497.15,2060,
1/7/2011,88.03,506.75,2060,
1/14/2011,91.54,522.2,2095,
1/21/2011,89.11,539.55,2195,
1/28/2011,89.34,540.9,2255,
2/4/2011,89.03,553.3,2290,
2/11/2011,85.58,565.7,2325,
2/18/2011,86.2,571.65,2510,
2/25/2011,97.88,534.75,2600,
3/4/2011,104.42,515.2,2600,
3/11/2011,101.16,449.7,2600,
3/18/2011,101.07,447.25,2610,
3/25/2011,105.4,507.35,2760,
4/1/2011,107.94,504.7,2760,
4/8/2011,112.79,520.45,2810,
4/15/2011,109.66,510.05,2980,
4/22/2011,111.795,484.85,3180,
4/29/2011,113.93,459.65,3190,
5/6/2011,97.18,435.6,3200,
5/13/2011,99.65,438.45,3390,
5/20/2011,99.49,452.05,3511,
5/27/2011,100.59,460.5,3511,
6/3/2011,100.22,462.2,3810,
6/10/2011,99.29,461.85,3810,
6/17/2011,93.01,456.45,3860,
6/24/2011,91.16,436.75,4200,
7/1/2011,94.94,436.1,4200,
7/8/2011,96.2,452.4,4200,
7/15/2011,97.24,451.25,4200,
7/22/2011,99.87,461.75,4210,
7/29/2011,95.7,469.65,4130,
8/5/2011,86.88,459.55,4050,
8/12/2011,85.38,461.3,3925,
8/19/2011,82.26,450.65,3870,
8/26/2011,85.37,454.85,3820,
9/2/2011,86.45,466.25,3660,
9/9/2011,87.24,464.35,3460,
